"Date","Price","Open","High","Low","Change %"
"Oct 08, 2021","4,355.00","4,360.50","4,372.50","4,345.50","-0.05%"
"Oct 07, 2021","4,357.00","4,377.50","4,383.50","4,350.00","-0.41%"
"Oct 06, 2021","4,375.00","4,390.00","4,398.50","4,359.50","-0.21%"
"Oct 05, 2021","4,384.00","4,405.00","4,414.00","4,386.00","-0.39%"
"Oct 04, 2021","4,401.00","4,395.00","4,416.50","4,391.00","0.23%"
"Oct 01, 2021","4,391.00","4,410.50","4,420.00","4,369.50","-0.36%"
"Sep 30, 2021","4,407.00","4,448.50","4,454.50","4,402.50","-0.85%"
"Sep 29, 2021","4,445.00","4,479.50","4,482.50","4,438.50","-0.69%"
"Sep 28, 2021","4,476.00","4,495.00","4,504.00","4,473.00","-0.33%"
"Sep 27, 2021","4,491.00","4,492.50","4,504.00","4,480.50","0.04%"
"Sep 24, 2021","4,489.00","4,500.50","4,527.00","4,487.00","-0.18%"
"Sep 23, 2021","4,497.00","4,479.50","4,512.50","4,478.00","0.47%"
"Sep 22, 2021","4,476.00","4,499.50","4,508.50","4,479.50","-0.44%"
"Sep 21, 2021","4,496.00","4,507.50","4,517.50","4,497.50","-0.18%"
"Sep 20, 2021","4,504.00","4,490.50","4,527.50","4,475.50","0.42%"
"Sep 17, 2021","4,485.00","4,489.50","4,509.00","4,476.50","-0.07%"
"Sep 16, 2021","4,488.00","4,507.50","4,512.00","4,470.50","-0.38%"
"Sep 15, 2021","4,505.00","4,522.50","4,535.50","4,495.50","-0.29%"
"Sep 14, 2021","4,518.00","4,524.50","4,538.00","4,516.00","-0.04%"
"Sep 13, 2021","4,520.00","4,530.50","4,537.00","4,504.50","-0.18%"
"Sep 10, 2021","4,528.00","4,545.50","4,555.50","4,523.50","-0.31%"
"Sep 09, 2021","4,542.00","4,510.00","4,547.50","4,507.50","0.80%"
"Sep 08, 2021","4,506.00","4,499.50","4,522.50","4,487.00","0.22%"
"Sep 07, 2021","4,496.00","4,510.50","4,526.50","4,495.50","-0.24%"
"Sep 06, 2021","4,507.00","4,514.00","4,517.50","4,505.00","-0.11%"
"Sep 03, 2021","4,512.00","4,506.50","4,529.00","4,484.50","0.20%"
"Sep 02, 2021","4,503.00","4,452.50","4,513.50","4,447.50","1.24%"
"Sep 01, 2021","4,448.00","4,451.50","4,471.00","4,431.50","0.02%"
"Aug 31, 2021","4,447.00","4,502.50","4,525.00","4,438.50","-1.11%"
"Aug 30, 2021","4,497.00","4,515.50","4,529.50","4,480.50","-0.31%"
"Aug 27, 2021","4,511.00","4,545.50","4,553.50","4,498.50","-0.68%"
"Aug 26, 2021","4,542.00","4,550.00","4,560.50","4,541.00","-0.11%"
"Aug 25, 2021","4,547.00","4,545.00","4,561.50","4,528.00","0.09%"
"Aug 24, 2021","4,543.00","4,560.00","4,563.50","4,526.00","-0.29%"
"Aug 23, 2021","4,556.00","4,528.00","4,561.00","4,513.50","0.66%"
"Aug 20, 2021","4,526.00","4,519.00","4,547.50","4,510.00","0.27%"
"Aug 19, 2021","4,514.00","4,510.50","4,550.00","4,493.00","0.20%"
"Aug 18, 2021","4,505.00","4,543.50","4,554.00","4,503.00","-0.73%"
"Aug 17, 2021","4,538.00","4,524.50","4,553.00","4,512.50","0.40%"
"Aug 16, 2021","4,520.00","4,531.50","4,542.00","4,518.50","-0.13%"
"Aug 13, 2021","4,526.00","4,525.50","4,543.50","4,491.00","0.09%"
