"Date","Price","Open","High","Low","Change %"
"May 05, 2022","4,085.00","4,069.17","4,085.50","4,060.00","0.39%"
"May 04, 2022","4,069.17","4,025.67","4,078.90","4,022.95","1.15%"
"May 03, 2022","4,022.95","4,009.98","4,031.00","3,984.50","0.50%"
"May 02, 2022","4,002.93","3,958.00","4,017.00","3,955.02","1.32%"
"Apr 29, 2022","3,950.95","3,984.95","3,987.93","3,951.35","-0.68%"
"Apr 28, 2022","3,977.90","3,955.00","3,999.75","3,954.79","0.76%"
"Apr 27, 2022","3,947.95","3,944.70","3,986.95","3,942.73","0.26%"
"Apr 26, 2022","3,937.65","3,936.50","3,965.10","3,933.03","0.21%"
"Apr 25, 2022","3,929.45","3,856.00","3,959.67","3,852.08","2.01%"
"Apr 22, 2022","3,852.01","3,774.00","3,859.00","3,772.12","2.18%"
"Apr 21, 2022","3,770.01","3,759.41","3,777.00","3,747.00","0.39%"
"Apr 20, 2022","3,755.41","3,749.50","3,769.16","3,743.50","0.26%"
"Apr 19, 2022","3,745.50","3,732.50","3,768.00","3,732.50","0.46%"
"Apr 18, 2022","3,728.51","3,723.00","3,744.00","3,716.71","0.26%"
"Apr 15, 2022","3,719.01","3,743.00","3,744.00","3,723.00","-0.44%"
"Apr 14, 2022","3,735.27","3,723.00","3,747.00","3,720.73","0.44%"
"Apr 13, 2022","3,719.01","3,753.33","3,762.00","3,718.25","-0.78%"
"Apr 12, 2022","3,748.15","3,739.00","3,768.00","3,710.01","0.38%"
"Apr 11, 2022","3,733.82","3,757.00","3,762.00","3,732.01","-0.48%"
"Apr 08, 2022","3,751.82","3,769.46","3,798.00","3,749.00","-0.33%"
"Apr 07, 2022","3,764.27","3,752.00","3,780.00","3,740.00","0.47%"
"Apr 06, 2022","3,746.82","3,740.96","3,762.00","3,725.00","0.30%"
"Apr 05, 2022","3,735.77","3,704.50","3,749.91","3,693.00","0.99%"
"Apr 04, 2022","3,699.32","3,749.05","3,754.40","3,690.00","-1.19%"
"Apr 01, 2022","3,743.87","3,773.00","3,797.96","3,749.05","-0.64%"
"Mar 31, 2022","3,767.82","3,753.71","3,773.00","3,746.46","0.51%"
"Mar 30, 2022","3,748.52","3,755.16","3,766.96","3,737.53","-0.07%"
"Mar 29, 2022","3,751.16","3,785.21","3,786.65","3,755.16","-0.79%"
"Mar 28, 2022","3,781.21","3,794.66","3,808.00","3,775.00","-0.25%"
"Mar 25, 2022","3,790.66","3,787.00","3,800.00","3,760.21","0.20%"
"Mar 24, 2022","3,783.01","3,783.50","3,817.00","3,775.00","0.09%"
